natid,name,gender,salary,birthday,tax
121010,Astor  Col. John Jacob,F,6021,11101971,227.525
121111,Astor Mrs. John Jacob (Madeleine Talmadge Force),M,9522,03121981,227.525
121212,Aubart Mme. Leontine Pauline,F,3293,03061941,69.3
121313,Barber Miss. Ellen Nellie,M,8689,04042002,78.85
121414,Barkworth Mr. Algernon Henry Wilson,F,426,28032003,30
121515,Baumann Mr. John D,M,1021,27082007,25.925
121616,Baxter Mr. Quigg Edmond,F,9988,18121960,247.5208
121717,Baxter Mrs. James (Helene DeLaudeniere Chaput),F,2531,09041949,247.5208
121818,Bazzani Miss. Albina,M,8416,19052010,76.2917
121919,Beattie Mr. Thomson,F,6390,14121947,75.2417
122020,Beckwith Mr. Richard Leonard,M,7669,07111955,52.5542
122121,Beckwith Mrs. Richard Leonard (Sallie Monypeny),F,6701,14081953,52.5542
122222,Behr Mr. Karl Howell,M,1849,19032004,30
122323,Bidois Miss. Rosalie,F,2612,28061952,227.525
122424,Bird Miss. Ellen,F,4518,11091956,221.7792
122525,Birnbaum Mr. Jakob,M,2899.06,12081985,26
122626,Bishop Mr. Dickinson H,F,305.00,02091993,91.0792
122727,Bishop Mrs. Dickinson H (Helen Walton),M,9693.39,10081977,91.0792
122828,Bissette Miss. Amelia,F,5209.76,16091993,135.6333
122929,Bjornstrom-Steffansson Mr. Mauritz Hakan,M,6552.77,12021993,26.55
123030,Blackwell Mr. Stephen Weart,F,4810.94,18121995,35.5
123131,Blank Mr. Henry,F,3212.58,03071946,31
123232,Bonnell Miss. Caroline,M,5210.07,18121994,164.8667
123333,Bonnell Miss. Elizabeth,F,2099.52,10032012,26.55
123434,Borebank Mr. John James,M,2958.40,09121993,26.55
123535,Bowen Miss. Grace Scott,F,1034.86,11071951,262.375
123636,Bowerman Miss. Elsie Edith,M,2900.90,12112007,55
123737,Bradley Mr. George (George Arthur Brayton),F,5236.82,03031998,26.55
123838,Brady Mr. John Bertram,F,4520.61,13051964,30.5
123939,Brandeis Mr. Emil,M,5217.52,27051979,50.4958
124040,Brewe Dr. Arthur Jackson,F,4217.43,12061946,39.6
124141,Brown Mrs. James Joseph (Margaret Tobin),M,2704.80,29031993,27.7208
124242,Brown Mrs. John Murray (Caroline Lane Lamson),F,997.82,07011996,51.4792
124343,Bucknell Mrs. William Robert (Emma Eliza Ward),M,1084.12,08031951,76.2917
124444,Burns Miss. Elizabeth Margaret,F,9430.88,17061939,134.5
124545,Butt Major. Archibald Willingham,F,7051.09,23061969,26.55
124646,Cairns Mr. Alexander,M,3484.00,21011953,31
124747,Calderhead Mr. Edward Pennington,F,9753.50,17101962,26.2875
124848,Candee Mrs. Edward (Helen Churchill Hungerford),M,212.00,10081959,27.4458
124949,Cardeza Mr. Thomas Drake Martinez,F,9498.04,06081976,512.3292
125050,Cardeza Mrs. James Warburton Martinez (Charlotte Wardle Drake),M,1288.21,14011950,512.3292
